qa_id,call_id,master_agent_id,review_date,qa_score,compliance_score,empathy_score,documentation_score,qa_pass_flag
Q00000871,C00003608,A004,2025-02-14,80.8,79.8,83.1,78.4,1
Q00000872,C00028046,A026,2025-03-30,77.1,72.4,81.2,84.1,0
Q00000873,C00058322,A054,2025-03-07,92.5,88.0,90.9,96.0,1
Q00000874,C00078435,A072,2025-04-02,97.4,98.1,93.6,100.0,1
Q00000875,C00053433,A050,2025-01-14,95.2,97.0,100.0,100.0,1
Q00000876,C00041772,A038,2025-03-19,79.0,75.7,85.6,73.1,0
Q00000877,C00033773,A032,2025-01-04,80.6,77.2,78.0,87.1,1
Q00000878,C00057069,A053,2025-02-12,71.2,72.7,65.9,67.2,0
Q00000879,C00044597,A041,2025-02-10,100.0,96.2,100.0,100.0,1
Q00000880,C00053810,A050,2025-02-15,99.8,98.7,100.0,97.7,1
Q00000881,C00031291,A029,2025-03-22,85.0,80.3,81.3,78.3,1
Q00000882,C00001286,A002,2025-01-25,92.9,92.9,90.2,90.6,1
Q00000883,C00057146,A053,2025-02-15,76.0,74.8,77.5,81.5,0
Q00000884,C00031019,A029,2025-02-17,95.2,100.0,97.1,92.4,1
Q00000885,C00030047,A028,2025-02-21,94.9,94.7,87.0,95.8,1
Q00000886,C00048213,A044,2025-04-06,77.0,83.5,78.6,71.1,0
Q00000887,C00056012,A052,2025-02-09,84.4,87.8,92.3,79.4,1
Q00000888,C00038501,A036,2025-01-14,88.0,85.8,95.6,79.8,1
Q00000889,C00057280,A053,2025-03-04,84.7,87.2,76.9,89.3,1
Q00000890,C00072608,A068,2025-01-13,85.5,86.5,82.5,87.6,1
Q00000891,C00078305,A072,2025-03-23,86.8,76.1,95.6,100.0,1
Q00000892,C00049732,A046,2025-02-27,75.4,68.8,80.1,77.1,0
Q00000893,C00033019,A031,2025-02-15,90.1,88.7,84.1,93.6,1
Q00000894,C00078626,A073,2025-01-16,76.2,89.6,75.2,71.9,0
Q00000895,C00006265,A007,2025-01-10,100.0,100.0,100.0,100.0,1
Q00000896,C00011996,A012,2025-01-12,95.1,100.0,91.6,93.3,1
Q00000897,C00005996,A006,2025-03-26,68.5,71.9,67.0,69.0,0
Q00000898,C00003657,A004,2025-02-18,93.9,90.8,99.2,85.1,1
Q00000899,C00072582,A068,2025-01-14,100.0,100.0,100.0,100.0,1
Q00000900,C00041968,A039,2025-01-08,73.3,64.1,71.0,74.9,0
Q00000901,C00056924,A053,2025-01-30,85.0,90.1,82.5,66.6,1
Q00000902,C00063215,A059,2025-03-04,87.3,86.9,79.3,77.5,1
Q00000903,C00065146,A061,2025-01-30,83.5,88.3,77.8,87.7,1
Q00000904,C00077003,A071,2025-03-16,82.5,88.1,89.6,86.9,1
Q00000905,C00033536,A031,2025-03-24,86.2,85.4,86.0,73.1,1
Q00000906,C00064235,A060,2025-02-18,95.4,88.5,100.0,100.0,1
Q00000907,C00051452,A048,2025-02-15,89.2,94.6,91.0,87.3,1
Q00000908,C00043326,A040,2025-01-06,82.5,82.2,76.2,70.1,1
Q00000909,C00001326,A002,2025-01-28,75.1,79.8,64.7,74.7,0
Q00000910,C00036027,A034,2025-01-12,89.6,80.6,92.2,84.4,1
Q00000911,C00011551,A011,2025-03-01,98.8,100.0,96.0,99.6,1
Q00000912,C00043650,A040,2025-02-03,87.9,91.2,86.9,88.8,1
Q00000913,C00072920,A068,2025-02-07,79.9,79.5,88.4,85.9,0
Q00000914,C00013601,A013,2025-03-13,92.8,96.0,88.0,92.2,1
Q00000915,C00017536,A017,2025-03-13,73.8,74.7,74.0,68.1,0
Q00000916,C00060485,A056,2025-04-05,89.3,85.8,88.6,95.3,1
Q00000917,C00056138,A052,2025-02-21,80.9,89.6,87.7,85.0,1
Q00000918,C00031639,A030,2025-01-23,95.1,92.2,100.0,100.0,1
Q00000919,C00054056,A050,2025-03-05,90.2,85.3,94.7,84.5,1
Q00000920,C00006725,A007,2025-02-11,83.2,77.6,81.6,88.8,1
Q00000921,C00079256,A073,2025-03-08,89.7,92.4,92.1,94.1,1
Q00000922,C00037441,A035,2025-01-31,93.8,100.0,90.9,100.0,1
Q00000923,C00011500,A011,2025-02-28,73.9,67.9,75.2,75.8,0
Q00000924,C00061007,A057,2025-02-25,94.4,92.5,96.0,97.9,1
Q00000925,C00039954,A037,2025-02-05,89.0,88.2,89.6,88.7,1
Q00000926,C00080005,A074,2025-01-26,82.1,76.3,77.1,74.3,1
Q00000927,C00025708,A024,2025-03-31,88.4,86.1,84.7,96.1,1
Q00000928,C00047505,A044,2025-01-23,89.5,92.3,92.6,74.8,1
Q00000929,C00061989,A058,2025-02-23,88.7,90.6,83.9,91.4,1
Q00000930,C00073962,A069,2025-01-23,83.3,73.5,84.9,91.0,0
Q00000931,C00004879,A005,2025-03-10,97.4,100.0,92.8,93.7,1
Q00000932,C00071098,A066,2025-03-04,91.5,100.0,89.1,83.9,1
Q00000933,C00016809,A017,2025-01-03,75.0,84.2,72.0,78.1,0
Q00000934,C00000279,A001,2025-01-28,99.8,100.0,94.0,96.7,1
Q00000935,C00020750,A020,2025-04-03,87.5,88.6,84.7,83.2,1
Q00000936,C00013880,A014,2025-01-10,87.2,88.0,84.0,90.1,1
Q00000937,C00038113,A035,2025-03-13,80.6,80.2,80.4,77.7,1
Q00000938,C00014970,A015,2025-02-07,97.5,88.2,95.2,100.0,1
Q00000939,C00064659,A060,2025-03-14,96.7,82.4,92.7,100.0,1
Q00000940,C00014500,A014,2025-03-27,81.7,79.0,76.3,80.3,1
Q00000941,C00045851,A042,2025-03-20,80.9,84.5,91.1,78.4,1
Q00000942,C00070840,A066,2025-02-12,91.3,95.7,83.4,91.6,1
Q00000943,C00064101,A060,2025-02-10,85.3,78.0,84.6,73.5,1
Q00000944,C00057664,A054,2025-01-11,83.3,89.0,90.8,84.7,1
Q00000945,C00027757,A026,2025-03-14,94.5,92.7,87.6,86.4,1
Q00000946,C00039918,A037,2025-01-29,77.3,79.0,77.6,73.1,0
Q00000947,C00049589,A046,2025-02-16,73.4,74.4,64.1,77.1,0
Q00000948,C00002232,A003,2025-01-19,92.9,100.0,87.1,93.6,1
Q00000949,C00054748,A051,2025-01-21,95.7,90.3,91.1,100.0,1
Q00000950,C00007653,A008,2025-01-22,83.8,90.9,77.1,89.4,1
Q00000951,C00078247,A072,2025-03-17,73.6,81.3,79.8,79.8,0
Q00000952,C00051938,A048,2025-04-03,90.3,91.6,88.7,96.4,1
Q00000953,C00036713,A034,2025-02-28,78.6,78.2,81.5,77.0,0
Q00000954,C00033407,A031,2025-03-13,85.3,88.2,89.6,95.5,1
Q00000955,C00002972,A003,2025-03-18,84.4,78.0,86.1,78.5,1
Q00000956,C00078852,A073,2025-02-04,76.5,84.3,83.4,62.9,0
Q00000957,C00005634,A006,2025-02-17,76.8,75.7,72.6,73.5,0
Q00000958,C00012987,A013,2025-01-15,66.0,73.0,58.6,56.7,0
Q00000959,C00058440,A054,2025-03-26,77.5,83.0,74.4,75.4,0
Q00000960,C00071206,A066,2025-03-06,85.3,83.7,78.1,90.3,1
Q00000961,C00053691,A050,2025-02-02,95.1,100.0,97.0,96.8,1
Q00000962,C00046552,A043,2025-02-04,94.8,93.9,89.4,82.9,1
Q00000963,C00028273,A027,2025-01-17,84.7,76.9,85.5,87.2,1
Q00000964,C00079122,A073,2025-02-22,78.6,81.7,88.7,76.6,0
Q00000965,C00029875,A028,2025-02-08,96.3,91.4,92.0,98.4,1
Q00000966,C00067927,A063,2025-03-26,86.1,88.8,86.8,88.3,1
Q00000967,C00065857,A062,2025-01-10,99.2,93.2,100.0,96.5,1
Q00000968,C00019610,A019,2025-03-19,96.7,100.0,90.4,88.5,1
Q00000969,C00065112,A061,2025-01-25,87.1,89.2,88.9,80.4,1
Q00000970,C00039459,A036,2025-03-22,91.2,93.6,97.6,100.0,1
Q00000971,C00078317,A072,2025-03-27,96.8,100.0,98.8,96.5,1
Q00000972,C00028989,A027,2025-03-11,83.1,77.4,92.2,78.4,1
Q00000973,C00020102,A020,2025-02-01,84.1,85.2,79.6,92.6,1
Q00000974,C00057622,A054,2025-01-09,79.3,79.2,75.9,66.0,0
Q00000975,C00016354,A016,2025-03-04,81.0,83.9,84.1,84.4,1
Q00000976,C00002686,A003,2025-03-02,98.6,100.0,86.3,96.4,1
Q00000977,C00045289,A042,2025-01-20,74.7,68.9,84.4,83.7,0
Q00000978,C00000663,A001,2025-03-07,92.8,85.7,95.0,82.0,1
Q00000979,C00008379,A008,2025-02-27,91.6,89.9,99.2,100.0,1
Q00000980,C00066136,A062,2025-02-03,89.7,86.8,97.0,87.6,1
Q00000981,C00066640,A062,2025-03-22,100.0,100.0,100.0,98.9,1
Q00000982,C00031083,A029,2025-02-25,81.8,91.0,78.1,86.5,1
Q00000983,C00035461,A033,2025-02-12,97.7,96.1,100.0,89.7,1
Q00000984,C00060458,A056,2025-03-27,83.6,83.9,86.2,80.1,1
Q00000985,C00020357,A020,2025-02-23,84.8,85.5,83.5,74.1,1
Q00000986,C00040854,A038,2025-01-20,78.6,77.8,75.3,80.0,0
Q00000987,C00060723,A057,2025-01-24,90.7,84.3,97.8,93.4,1
Q00000988,C00002186,A003,2025-01-20,73.3,76.3,78.1,75.4,0
Q00000989,C00041721,A038,2025-03-17,79.1,84.0,83.5,63.2,0
Q00000990,C00037226,A035,2025-01-13,84.2,90.7,89.8,81.0,1
Q00000991,C00015579,A016,2025-01-12,98.2,95.9,95.1,100.0,1
Q00000992,C00008257,A008,2025-02-20,89.6,81.1,80.7,80.6,1
Q00000993,C00008190,A008,2025-02-21,88.4,76.1,84.0,100.0,1
Q00000994,C00050680,A047,2025-03-06,85.3,79.3,85.4,95.5,1
Q00000995,C00029132,A027,2025-03-17,100.0,100.0,99.7,93.8,1
Q00000996,C00037780,A035,2025-02-27,90.9,91.6,91.3,100.0,1
Q00000997,C00042782,A039,2025-03-02,80.9,75.3,83.6,91.2,1
Q00000998,C00029369,A027,2025-03-31,83.9,87.9,91.2,88.8,1
Q00000999,C00058714,A055,2025-01-24,84.1,85.5,85.2,84.6,1
Q00001000,C00053599,A050,2025-01-26,79.3,69.1,87.7,88.2,0
Q00001001,C00037779,A035,2025-03-01,85.7,77.2,94.1,95.5,1
Q00001002,C00055725,A052,2025-01-17,77.7,77.4,74.5,68.8,0
Q00001003,C00057081,A053,2025-02-12,91.5,97.3,97.6,94.5,1
Q00001004,C00075867,A070,2025-03-25,81.9,72.6,77.3,88.8,0
Q00001005,C00046651,A043,2025-02-12,91.2,86.4,88.4,86.9,1
Q00001006,C00058837,A055,2025-02-04,78.7,81.2,97.2,86.3,0
Q00001007,C00013941,A014,2025-01-22,90.8,86.7,92.1,95.4,1
Q00001008,C00047509,A044,2025-01-25,96.3,92.5,92.8,93.8,1
Q00001009,C00033278,A031,2025-03-06,87.7,80.6,87.9,85.5,1
Q00001010,C00053685,A050,2025-01-31,85.6,85.1,84.9,87.2,1
Q00001011,C00077539,A072,2025-01-27,90.0,91.3,90.7,84.9,1
Q00001012,C00008778,A008,2025-04-02,79.5,81.7,75.6,73.3,0
Q00001013,C00079528,A073,2025-03-22,93.8,95.3,97.8,100.0,1
Q00001014,C00045550,A042,2025-02-12,79.4,78.8,82.4,79.3,0
Q00001015,C00048679,A045,2025-02-15,92.1,100.0,92.1,86.6,1
Q00001016,C00043379,A040,2025-01-11,85.5,86.7,98.8,79.6,1
Q00001017,C00051961,A049,2025-01-07,82.2,89.0,84.1,93.5,1
Q00001018,C00030941,A029,2025-02-11,89.3,92.2,90.7,94.0,1
Q00001019,C00041892,A038,2025-03-27,93.6,92.8,95.2,92.7,1
Q00001020,C00075465,A070,2025-03-02,84.8,83.6,85.9,87.1,1
Q00001021,C00070378,A066,2025-01-06,83.7,76.7,74.3,83.2,1
Q00001022,C00054496,A050,2025-04-01,88.1,91.4,87.3,87.7,1
Q00001023,C00035462,A033,2025-02-15,93.0,93.6,85.5,97.4,1
Q00001024,C00051598,A048,2025-03-05,93.3,91.5,97.1,100.0,1
Q00001025,C00047893,A044,2025-03-04,82.7,88.3,85.1,85.2,1
Q00001026,C00041765,A038,2025-03-18,89.5,92.0,84.7,84.4,1
Q00001027,C00078120,A072,2025-03-12,82.6,84.1,75.8,94.3,1
Q00001028,C00047240,A043,2025-03-25,85.2,77.1,82.2,89.6,1
Q00001029,C00038953,A036,2025-02-18,96.1,92.5,100.0,93.4,1
Q00001030,C00069100,A064,2025-03-16,86.7,96.8,88.5,87.3,1
Q00001031,C00024639,A023,2025-03-17,78.7,83.2,79.6,81.8,0
Q00001032,C00001390,A002,2025-02-05,90.7,90.7,94.7,100.0,1
Q00001033,C00008765,A008,2025-04-04,88.7,93.0,72.7,87.1,1
Q00001034,C00048801,A045,2025-02-26,89.3,86.4,87.2,84.2,1
Q00001035,C00004897,A005,2025-03-09,81.1,76.7,79.0,83.8,1
Q00001036,C00059975,A056,2025-02-15,80.9,71.9,70.8,87.3,0
Q00001037,C00061232,A057,2025-03-14,79.8,75.8,84.9,83.9,0
Q00001038,C00048740,A045,2025-02-26,97.0,92.3,99.3,89.3,1
Q00001039,C00070142,A065,2025-03-18,84.8,81.4,92.5,85.8,1
Q00001040,C00025462,A024,2025-03-05,94.3,92.7,92.2,91.7,1
Q00001041,C00047707,A044,2025-02-17,94.8,91.1,92.2,100.0,1
Q00001042,C00010263,A010,2025-02-19,90.4,93.6,77.6,84.6,1
Q00001043,C00049371,A046,2025-01-28,68.5,75.4,71.2,64.0,0
Q00001044,C00079533,A073,2025-03-22,86.9,90.8,81.6,75.6,1
Q00001045,C00075324,A070,2025-02-17,85.1,84.9,78.0,73.8,1
Q00001046,C00049959,A046,2025-03-26,81.2,80.2,83.7,79.4,1
Q00001047,C00019031,A019,2025-01-24,84.6,89.7,86.6,89.6,1
Q00001048,C00017841,A018,2025-01-09,79.8,73.6,79.4,82.8,0
Q00001049,C00026567,A025,2025-03-20,82.9,75.7,76.1,84.6,1
Q00001050,C00031503,A030,2025-01-07,78.6,83.5,85.2,71.0,0
Q00001051,C00052032,A049,2025-01-16,91.2,86.2,91.0,93.3,1
Q00001052,C00009737,A010,2025-01-13,81.1,73.1,83.7,88.2,0
Q00001053,C00036352,A034,2025-02-10,72.7,72.8,69.4,76.4,0
Q00001054,C00063485,A059,2025-03-22,82.5,81.7,80.4,88.9,1
Q00001055,C00073622,A068,2025-03-23,85.2,77.4,86.4,80.9,1
Q00001056,C00014922,A015,2025-01-31,66.4,66.6,67.0,63.0,0
Q00001057,C00063830,A060,2025-01-21,78.0,79.7,84.1,75.3,0
Q00001058,C00034116,A032,2025-02-03,79.4,79.2,72.9,75.7,0
Q00001059,C00078893,A073,2025-02-02,74.6,75.4,77.5,74.9,0
Q00001060,C00029689,A028,2025-01-22,87.5,92.1,79.0,92.5,1
Q00001061,C00031145,A029,2025-03-08,82.2,86.7,91.1,78.2,1
Q00001062,C00006555,A007,2025-02-04,98.5,100.0,96.9,96.3,1
Q00001063,C00006341,A007,2025-01-22,94.0,89.6,85.3,83.5,1
Q00001064,C00043993,A040,2025-03-19,99.9,96.6,99.5,100.0,1
Q00001065,C00018108,A018,2025-01-30,85.2,87.6,85.0,82.8,1
Q00001066,C00059854,A056,2025-02-02,75.3,84.7,80.0,72.9,0
Q00001067,C00047096,A043,2025-03-22,83.5,84.8,78.7,88.5,1
Q00001068,C00031960,A030,2025-02-15,88.6,80.6,96.1,95.4,1
Q00001069,C00077941,A072,2025-02-26,93.7,96.6,100.0,94.2,1
Q00001070,C00048435,A045,2025-01-25,86.1,85.6,80.0,91.3,1
Q00001071,C00064637,A060,2025-03-14,95.6,98.5,100.0,100.0,1
Q00001072,C00003822,A004,2025-02-28,96.2,94.7,92.8,95.6,1
Q00001073,C00055466,A051,2025-04-04,85.8,87.5,84.0,88.2,1
Q00001074,C00076094,A071,2025-01-13,83.5,85.0,74.6,74.2,1
Q00001075,C00027482,A026,2025-02-25,79.3,74.9,79.2,81.7,0
Q00001076,C00049115,A045,2025-03-30,91.3,98.8,92.5,87.8,1
Q00001077,C00006335,A007,2025-01-18,84.5,79.1,83.4,79.2,1
Q00001078,C00056749,A053,2025-01-07,69.2,69.2,59.6,62.8,0
Q00001079,C00065527,A061,2025-03-11,83.8,76.0,82.8,100.0,1
Q00001080,C00030052,A028,2025-02-21,96.0,100.0,96.3,90.5,1
Q00001081,C00009619,A009,2025-03-31,83.7,79.0,90.9,88.9,1
Q00001082,C00021012,A021,2025-01-21,93.8,97.0,94.4,95.1,1
Q00001083,C00042980,A039,2025-03-17,73.1,72.2,71.9,86.1,0
Q00001084,C00020309,A020,2025-02-24,84.9,79.8,85.2,91.3,1
Q00001085,C00066710,A062,2025-03-30,90.1,89.0,90.9,92.5,1
Q00001086,C00074123,A069,2025-02-05,83.1,85.8,77.9,80.9,1
Q00001087,C00047348,A044,2025-01-10,72.6,68.6,73.5,78.9,0
Q00001088,C00001732,A002,2025-03-19,95.5,89.6,100.0,100.0,1
Q00001089,C00019430,A019,2025-02-27,90.5,86.9,90.8,92.3,1
Q00001090,C00036235,A034,2025-01-26,88.1,89.7,91.3,82.1,1
Q00001091,C00059062,A055,2025-02-17,88.3,89.7,86.9,100.0,1
Q00001092,C00002189,A003,2025-01-25,83.2,91.5,74.5,82.1,1
Q00001093,C00074450,A069,2025-03-07,80.7,88.9,74.8,73.6,1
Q00001094,C00071149,A066,2025-03-07,89.1,89.4,77.2,96.0,1
Q00001095,C00013434,A013,2025-03-01,80.9,88.8,83.7,83.5,1
Q00001096,C00071382,A066,2025-03-22,81.1,76.8,81.5,75.7,1
Q00001097,C00004233,A005,2025-01-08,76.3,71.8,83.2,76.1,0
Q00001098,C00006703,A007,2025-02-11,87.2,80.4,85.3,90.4,1
Q00001099,C00058782,A055,2025-01-31,89.5,88.8,82.0,100.0,1
Q00001100,C00045585,A042,2025-02-19,82.8,81.1,84.4,76.8,1
Q00001101,C00037716,A035,2025-02-20,81.1,76.7,80.0,74.7,1
Q00001102,C00058664,A055,2025-01-21,83.9,81.2,84.1,91.5,1
Q00001103,C00079386,A073,2025-03-12,83.2,78.2,76.7,84.9,1
Q00001104,C00007169,A007,2025-03-21,87.4,86.8,88.7,80.3,1
Q00001105,C00006145,A006,2025-04-08,74.6,77.0,73.5,76.1,0
Q00001106,C00045499,A042,2025-02-14,71.2,70.2,78.4,76.2,0
Q00001107,C00031734,A030,2025-01-30,83.5,85.4,90.5,79.3,1
Q00001108,C00016867,A017,2025-01-12,96.6,88.7,94.5,99.9,1
Q00001109,C00040862,A038,2025-01-17,98.2,98.1,99.2,100.0,1
Q00001110,C00023122,A022,2025-03-02,81.2,80.0,81.2,84.9,1
Q00001111,C00038753,A036,2025-02-06,93.9,93.8,100.0,89.9,1
Q00001112,C00063811,A060,2025-01-19,87.5,92.4,98.0,90.6,1
Q00001113,C00058042,A054,2025-02-19,81.6,71.0,76.4,78.1,0
Q00001114,C00068664,A064,2025-02-13,84.4,85.4,100.0,81.9,1
Q00001115,C00051229,A048,2025-01-25,76.5,74.5,69.3,74.7,0
Q00001116,C00040685,A038,2025-01-10,100.0,100.0,100.0,100.0,1
Q00001117,C00067829,A063,2025-03-16,85.2,82.7,83.8,85.2,1
Q00001118,C00052304,A049,2025-01-29,85.4,83.4,85.6,84.0,1
Q00001119,C00080365,A074,2025-02-22,92.6,92.5,92.7,100.0,1
Q00001120,C00020356,A020,2025-02-25,85.8,100.0,90.1,84.8,1
Q00001121,C00064975,A061,2025-01-06,80.8,85.6,78.8,74.7,1
Q00001122,C00068180,A064,2025-01-10,85.9,87.4,88.7,93.0,1
Q00001123,C00072329,A067,2025-03-26,87.7,92.6,89.4,84.4,1
Q00001124,C00000789,A001,2025-03-17,86.8,86.8,90.2,85.8,1
Q00001125,C00042440,A039,2025-02-12,72.9,72.8,83.7,73.0,0
Q00001126,C00077184,A071,2025-04-06,79.8,74.0,83.1,74.3,0
Q00001127,C00056303,A052,2025-03-04,79.5,79.5,75.3,80.1,0
Q00001128,C00029910,A028,2025-02-09,90.2,87.2,94.4,92.6,1
Q00001129,C00038841,A036,2025-02-09,79.2,83.9,82.2,69.5,0
Q00001130,C00074658,A069,2025-03-27,79.4,75.5,75.3,71.8,0
Q00001131,C00013798,A014,2025-01-09,72.4,81.5,71.0,74.7,0
Q00001132,C00051817,A048,2025-03-22,97.6,94.5,100.0,100.0,1
Q00001133,C00076711,A071,2025-02-28,80.8,75.3,85.3,88.3,1
Q00001134,C00068326,A064,2025-01-20,85.9,82.0,78.1,94.5,1
Q00001135,C00036185,A034,2025-01-25,85.6,93.1,85.8,80.9,1
Q00001136,C00039462,A036,2025-03-20,85.9,87.4,80.3,79.9,1
Q00001137,C00020232,A020,2025-02-15,82.7,81.3,92.2,82.3,1
Q00001138,C00016911,A017,2025-01-20,85.2,89.0,85.3,82.6,1
Q00001139,C00013725,A013,2025-04-02,84.8,96.3,80.6,91.3,1
Q00001140,C00081336,A075,2025-01-23,97.7,100.0,90.9,83.9,1
Q00001141,C00007221,A007,2025-03-23,86.0,82.5,95.1,91.2,1
Q00001142,C00018671,A018,2025-03-28,85.1,87.3,88.2,81.7,1
Q00001143,C00019422,A019,2025-02-26,84.8,77.9,88.5,89.5,1
Q00001144,C00077761,A072,2025-02-15,88.2,89.1,88.3,93.9,1
Q00001145,C00066122,A062,2025-02-05,94.8,100.0,87.9,99.8,1
Q00001146,C00036909,A034,2025-03-20,89.2,76.8,93.6,89.9,1
Q00001147,C00079210,A073,2025-03-06,100.0,100.0,100.0,100.0,1
Q00001148,C00054756,A051,2025-01-18,92.8,86.4,88.8,91.0,1
Q00001149,C00035982,A034,2025-01-07,83.1,82.7,86.7,87.1,1
Q00001150,C00022345,A022,2025-01-09,73.4,68.1,75.8,75.4,0
Q00001151,C00067012,A063,2025-01-17,92.4,90.3,96.2,86.0,1
Q00001152,C00039684,A037,2025-01-10,89.1,85.4,79.9,71.5,1
Q00001153,C00021037,A021,2025-01-24,81.2,75.8,81.6,82.1,1
Q00001154,C00065488,A061,2025-03-05,97.9,100.0,91.6,100.0,1
Q00001155,C00065046,A061,2025-01-20,97.3,92.3,100.0,99.3,1
Q00001156,C00062923,A059,2025-01-25,100.0,100.0,100.0,100.0,1
Q00001157,C00080366,A074,2025-02-17,100.0,100.0,97.8,100.0,1
Q00001158,C00041381,A038,2025-02-26,81.9,81.6,68.3,80.3,1
Q00001159,C00015863,A016,2025-01-30,95.9,97.0,88.3,89.0,1
Q00001160,C00052014,A049,2025-01-08,87.1,86.8,91.1,99.8,1
Q00001161,C00015667,A016,2025-01-22,89.4,96.2,97.4,92.4,1
Q00001162,C00000479,A001,2025-02-21,88.0,80.3,89.5,85.4,1
Q00001163,C00037766,A035,2025-02-27,86.3,90.2,81.5,84.8,1
Q00001164,C00030224,A028,2025-03-13,84.6,81.3,83.7,83.8,1
Q00001165,C00010217,A010,2025-02-13,88.9,90.1,89.0,96.2,1
Q00001166,C00079677,A074,2025-01-08,85.8,87.5,91.3,88.7,1
Q00001167,C00065566,A061,2025-03-15,77.6,72.4,80.6,84.1,0
Q00001168,C00072877,A068,2025-01-30,94.4,98.2,100.0,96.4,1
Q00001169,C00081506,A075,2025-02-01,83.2,95.3,70.6,71.3,1
Q00001170,C00075439,A070,2025-02-26,80.6,78.3,83.8,84.8,1
Q00001171,C00002816,A003,2025-03-04,76.4,82.1,87.7,80.1,0
Q00001172,C00053262,A050,2025-01-04,95.3,100.0,100.0,99.9,1
Q00001173,C00046447,A043,2025-01-31,74.5,77.9,69.2,69.8,0
Q00001174,C00067842,A063,2025-03-17,85.4,84.9,77.2,86.0,1
Q00001175,C00023495,A022,2025-03-29,86.5,84.4,86.3,76.6,1
Q00001176,C00026916,A026,2025-01-11,86.8,94.6,96.0,84.1,1
Q00001177,C00064565,A060,2025-03-12,89.5,87.3,89.2,82.9,1
Q00001178,C00044833,A041,2025-03-05,88.4,95.1,97.8,95.7,1
Q00001179,C00019186,A019,2025-02-04,98.5,99.7,92.2,94.4,1
Q00001180,C00039665,A037,2025-01-05,100.0,98.1,100.0,100.0,1
Q00001181,C00020283,A020,2025-02-22,72.8,72.3,71.2,70.6,0
Q00001182,C00057627,A054,2025-01-04,89.8,90.8,93.3,95.0,1
Q00001183,C00024865,A023,2025-04-03,100.0,100.0,100.0,96.2,1
Q00001184,C00052787,A049,2025-03-05,85.3,90.0,94.3,83.5,1
Q00001185,C00031535,A030,2025-01-11,90.0,93.8,84.1,84.4,1
Q00001186,C00026648,A025,2025-03-27,91.0,90.9,95.4,97.3,1
Q00001187,C00066286,A062,2025-02-19,99.7,96.8,100.0,99.2,1
Q00001188,C00046032,A042,2025-03-28,79.5,82.4,78.5,74.2,0
Q00001189,C00039257,A036,2025-03-11,84.3,82.1,85.9,88.5,1
Q00001190,C00037885,A035,2025-03-01,91.0,90.2,94.9,99.8,1
Q00001191,C00081090,A075,2025-01-09,88.5,91.5,92.6,81.7,1
Q00001192,C00022958,A022,2025-02-20,79.6,76.2,68.2,89.9,0
Q00001193,C00052431,A049,2025-02-06,87.7,87.1,85.8,81.4,1
Q00001194,C00006813,A007,2025-02-17,91.6,98.1,93.7,100.0,1
Q00001195,C00066738,A062,2025-04-06,83.1,80.6,91.9,83.7,1
Q00001196,C00024992,A024,2025-01-20,89.7,90.8,88.1,97.0,1
Q00001197,C00075856,A070,2025-03-26,80.3,76.5,83.7,75.7,1
Q00001198,C00047380,A044,2025-01-17,89.8,95.4,89.6,88.4,1
Q00001199,C00073489,A068,2025-03-13,82.5,92.6,79.5,81.5,1
Q00001200,C00075820,A070,2025-03-22,86.8,81.8,80.7,91.8,1
Q00001201,C00027853,A026,2025-03-24,84.0,84.6,78.8,81.0,1
Q00001202,C00051771,A048,2025-03-14,87.3,88.1,78.6,94.3,1
Q00001203,C00019489,A019,2025-03-10,87.8,89.2,78.6,91.3,1
Q00001204,C00008290,A008,2025-02-22,69.1,79.2,70.8,76.5,0
Q00001205,C00050608,A047,2025-02-20,83.9,73.7,80.0,84.0,0
Q00001206,C00039925,A037,2025-02-04,87.3,90.1,80.1,89.2,1
Q00001207,C00068849,A064,2025-02-24,87.3,95.1,79.8,83.5,1
Q00001208,C00049106,A045,2025-04-02,86.1,92.7,94.3,89.9,1
Q00001209,C00017227,A017,2025-02-13,86.1,82.3,94.9,98.7,1
Q00001210,C00038707,A036,2025-01-25,83.8,82.3,82.4,91.3,1
Q00001211,C00039695,A037,2025-01-07,85.1,81.3,84.3,79.0,1
Q00001212,C00047020,A043,2025-03-18,87.4,85.1,92.9,89.1,1
Q00001213,C00028323,A027,2025-01-24,90.1,92.7,91.2,86.5,1
Q00001214,C00023401,A022,2025-03-21,93.7,96.8,95.3,99.7,1
Q00001215,C00018539,A018,2025-03-16,87.0,82.7,78.3,90.5,1
Q00001216,C00078962,A073,2025-02-12,71.3,68.6,70.7,59.2,0
Q00001217,C00067724,A063,2025-03-08,100.0,100.0,100.0,93.3,1
Q00001218,C00044963,A041,2025-03-20,87.7,81.6,84.7,95.6,1
Q00001219,C00042054,A039,2025-01-15,83.7,79.6,77.0,80.0,1
Q00001220,C00029965,A028,2025-02-17,84.2,86.6,98.9,74.1,1
Q00001221,C00060378,A056,2025-03-26,92.1,87.7,95.7,83.9,1
Q00001222,C00040661,A038,2025-01-13,79.3,79.5,82.8,77.7,0
Q00001223,C00047003,A043,2025-03-13,85.8,85.2,84.3,91.6,1
Q00001224,C00011536,A011,2025-02-27,83.3,77.8,77.7,68.2,1
Q00001225,C00042122,A039,2025-01-18,78.9,80.4,76.0,85.7,0
Q00001226,C00030831,A029,2025-01-29,81.8,74.0,77.7,91.0,0
Q00001227,C00014758,A015,2025-01-17,91.5,79.4,95.4,82.1,1
