activity_id,master_agent_id,activity_date,activity_start,activity_end,activity_type,activity_category,queue,case_type,productive_flag,approved_flag,source_system,duration_minutes
ACT00012565,A007,2025-03-04,2025-03-04 13:06:00,2025-03-04 13:25:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,19.0
ACT00012566,A007,2025-03-04,2025-03-04 13:25:00,2025-03-04 13:34:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,9.0
ACT00012567,A007,2025-03-04,2025-03-04 13:35:00,2025-03-04 13:52:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,17.0
ACT00012568,A007,2025-03-04,2025-03-04 13:53:00,2025-03-04 14:10:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,17.0
ACT00012569,A007,2025-03-04,2025-03-04 14:10:00,2025-03-04 14:30:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,20.0
ACT00012570,A007,2025-03-04,2025-03-04 14:30:00,2025-03-04 14:44:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00012571,A007,2025-03-04,2025-03-04 14:44:00,2025-03-04 15:22:00,Offline Work,Admin,,,1,1,SharePoint Tracker,38.0
ACT00012572,A007,2025-03-04,2025-03-04 15:22:00,2025-03-04 15:38:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,16.0
ACT00012573,A007,2025-03-04,2025-03-04 15:38:00,2025-03-04 15:51:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,13.0
ACT00012574,A007,2025-03-04,2025-03-04 15:51:00,2025-03-04 16:00:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,9.0
ACT00012575,A007,2025-03-05,2025-03-05 07:00:00,2025-03-05 08:00:00,Offline Work,Team Meeting,,,1,1,SharePoint Tracker,60.0
ACT00012576,A007,2025-03-05,2025-03-05 08:00:00,2025-03-05 08:12:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,12.0
ACT00012577,A007,2025-03-05,2025-03-05 08:12:00,2025-03-05 09:01:00,Offline Work,System Issue,,,0,1,IT Incident Log,49.0
ACT00012578,A007,2025-03-05,2025-03-05 09:01:00,2025-03-05 09:13:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,12.0
ACT00012579,A007,2025-03-05,2025-03-05 09:13:00,2025-03-05 09:33:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,20.0
ACT00012580,A007,2025-03-05,2025-03-05 09:33:00,2025-03-05 09:46:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,13.0
ACT00012581,A007,2025-03-05,2025-03-05 09:46:00,2025-03-05 09:57:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,11.0
ACT00012582,A007,2025-03-05,2025-03-05 09:57:00,2025-03-05 10:09:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,12.0
ACT00012583,A007,2025-03-05,2025-03-05 10:10:00,2025-03-05 10:30:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,20.0
ACT00012584,A007,2025-03-05,2025-03-05 10:30:00,2025-03-05 11:00:00,Offline Work,Admin,,,1,1,SharePoint Tracker,30.0
ACT00012585,A007,2025-03-05,2025-03-05 11:00:00,2025-03-05 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00012586,A007,2025-03-05,2025-03-05 11:30:00,2025-03-05 11:44:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00012587,A007,2025-03-05,2025-03-05 11:44:00,2025-03-05 12:28:00,Offline Work,Admin,,,1,1,SharePoint Tracker,44.0
ACT00012588,A007,2025-03-05,2025-03-05 12:28:00,2025-03-05 12:41:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,13.0
ACT00012589,A007,2025-03-05,2025-03-05 12:41:00,2025-03-05 12:53:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,12.0
ACT00012590,A007,2025-03-05,2025-03-05 12:53:00,2025-03-05 13:08:00,Offline Work,Break,,,0,1,Queue Manager,15.0
ACT00012591,A007,2025-03-05,2025-03-05 13:11:00,2025-03-05 13:17:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,6.0
ACT00012592,A007,2025-03-05,2025-03-05 13:17:00,2025-03-05 13:30:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,13.0
ACT00012593,A007,2025-03-05,2025-03-05 13:30:00,2025-03-05 13:43:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,13.0
ACT00012594,A007,2025-03-05,2025-03-05 13:43:00,2025-03-05 13:58:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,15.0
ACT00012595,A007,2025-03-05,2025-03-05 14:01:00,2025-03-05 14:15:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00012596,A007,2025-03-05,2025-03-05 14:15:00,2025-03-05 14:21:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,6.0
ACT00012597,A007,2025-03-05,2025-03-05 14:21:00,2025-03-05 14:26:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,5.0
ACT00012598,A007,2025-03-05,2025-03-05 14:26:00,2025-03-05 14:33:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,7.0
ACT00012599,A007,2025-03-05,2025-03-05 14:33:00,2025-03-05 14:44:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,11.0
ACT00012600,A007,2025-03-05,2025-03-05 14:44:00,2025-03-05 15:00:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,16.0
ACT00012601,A007,2025-03-05,2025-03-05 15:00:00,2025-03-05 15:23:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,23.0
ACT00012602,A007,2025-03-05,2025-03-05 15:23:00,2025-03-05 15:32:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,9.0
ACT00012603,A007,2025-03-05,2025-03-05 15:32:00,2025-03-05 15:44:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,12.0
ACT00012604,A007,2025-03-05,2025-03-05 15:44:00,2025-03-05 15:57:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,13.0
ACT00012605,A007,2025-03-05,2025-03-05 15:57:00,2025-03-05 16:00:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,3.0
ACT00012606,A007,2025-03-06,2025-03-06 07:10:00,2025-03-06 07:29:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,19.0
ACT00012607,A007,2025-03-06,2025-03-06 07:29:00,2025-03-06 07:44:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,15.0
ACT00012608,A007,2025-03-06,2025-03-06 07:44:00,2025-03-06 08:16:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,32.0
ACT00012609,A007,2025-03-06,2025-03-06 08:16:00,2025-03-06 08:30:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,14.0
ACT00012610,A007,2025-03-06,2025-03-06 08:30:00,2025-03-06 08:47:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,17.0
ACT00012611,A007,2025-03-06,2025-03-06 08:49:00,2025-03-06 09:09:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,20.0
ACT00012612,A007,2025-03-06,2025-03-06 09:09:00,2025-03-06 09:23:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00012613,A007,2025-03-06,2025-03-06 09:23:00,2025-03-06 09:35:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,12.0
ACT00012614,A007,2025-03-06,2025-03-06 09:35:00,2025-03-06 10:09:00,Offline Work,Admin,,,1,1,SharePoint Tracker,34.0
ACT00012615,A007,2025-03-06,2025-03-06 10:11:00,2025-03-06 10:56:00,Offline Work,Coaching,,,1,1,SharePoint Tracker,45.0
ACT00012616,A007,2025-03-06,2025-03-06 10:59:00,2025-03-06 11:00:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,1.0
ACT00012617,A007,2025-03-06,2025-03-06 11:00:00,2025-03-06 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00012618,A007,2025-03-06,2025-03-06 11:30:00,2025-03-06 11:34:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,4.0
ACT00012619,A007,2025-03-06,2025-03-06 11:34:00,2025-03-06 11:48:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,14.0
ACT00012620,A007,2025-03-06,2025-03-06 11:48:00,2025-03-06 11:56:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,8.0
ACT00012621,A007,2025-03-06,2025-03-06 11:56:00,2025-03-06 12:09:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,13.0
ACT00012622,A007,2025-03-06,2025-03-06 12:09:00,2025-03-06 12:23:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,14.0
ACT00012623,A007,2025-03-06,2025-03-06 12:23:00,2025-03-06 12:59:00,Offline Work,Email Support,,,1,1,Queue Manager,36.0
ACT00012624,A007,2025-03-06,2025-03-06 12:59:00,2025-03-06 13:28:00,Offline Work,Team Meeting,,,1,1,SharePoint Tracker,29.0
ACT00012625,A007,2025-03-06,2025-03-06 13:28:00,2025-03-06 13:49:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,21.0
ACT00012626,A007,2025-03-06,2025-03-06 13:49:00,2025-03-06 13:58:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,9.0
ACT00012627,A007,2025-03-06,2025-03-06 13:58:00,2025-03-06 14:49:00,Offline Work,System Issue,,,0,1,IT Incident Log,51.0
ACT00012628,A007,2025-03-06,2025-03-06 14:51:00,2025-03-06 14:53:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,2.0
ACT00012629,A007,2025-03-06,2025-03-06 14:53:00,2025-03-06 15:06:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,13.0
ACT00012630,A007,2025-03-06,2025-03-06 15:06:00,2025-03-06 15:26:00,Case Work,Case Processing,,Appeal,1,1,Salesforce,20.0
ACT00012631,A007,2025-03-06,2025-03-06 15:26:00,2025-03-06 15:45:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,19.0
ACT00012632,A007,2025-03-06,2025-03-06 15:45:00,2025-03-06 16:00:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,15.0
ACT00012633,A007,2025-03-07,2025-03-07 07:05:00,2025-03-07 07:12:00,Offline Work,Admin,,,1,1,SharePoint Tracker,7.0
ACT00012634,A007,2025-03-07,2025-03-07 07:12:00,2025-03-07 07:22:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,10.0
ACT00012635,A007,2025-03-07,2025-03-07 07:22:00,2025-03-07 07:55:00,Offline Work,Team Meeting,,,1,1,SharePoint Tracker,33.0
ACT00012636,A007,2025-03-07,2025-03-07 07:55:00,2025-03-07 08:10:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,15.0
ACT00012637,A007,2025-03-07,2025-03-07 08:10:00,2025-03-07 08:23:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,13.0
ACT00012638,A007,2025-03-07,2025-03-07 08:23:00,2025-03-07 08:35:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,12.0
ACT00012639,A007,2025-03-07,2025-03-07 08:36:00,2025-03-07 09:06:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,30.0
ACT00012640,A007,2025-03-07,2025-03-07 09:06:00,2025-03-07 09:20:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00012641,A007,2025-03-07,2025-03-07 09:20:00,2025-03-07 09:29:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,9.0
ACT00012642,A007,2025-03-07,2025-03-07 09:29:00,2025-03-07 09:48:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,19.0
ACT00012643,A007,2025-03-07,2025-03-07 09:48:00,2025-03-07 10:08:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,20.0
ACT00012644,A007,2025-03-07,2025-03-07 10:08:00,2025-03-07 10:20:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,12.0
ACT00012645,A007,2025-03-07,2025-03-07 10:20:00,2025-03-07 10:34:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00012646,A007,2025-03-07,2025-03-07 10:34:00,2025-03-07 10:49:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,15.0
ACT00012647,A007,2025-03-07,2025-03-07 10:49:00,2025-03-07 11:00:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,11.0
ACT00012648,A007,2025-03-07,2025-03-07 11:00:00,2025-03-07 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00012649,A007,2025-03-07,2025-03-07 11:30:00,2025-03-07 11:40:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,10.0
ACT00012650,A007,2025-03-07,2025-03-07 11:40:00,2025-03-07 11:56:00,Offline Work,Admin,,,1,1,SharePoint Tracker,16.0
ACT00012651,A007,2025-03-07,2025-03-07 11:56:00,2025-03-07 12:10:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,14.0
ACT00012652,A007,2025-03-07,2025-03-07 12:10:00,2025-03-07 12:26:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,16.0
ACT00012653,A007,2025-03-07,2025-03-07 12:26:00,2025-03-07 12:49:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,23.0
ACT00012654,A007,2025-03-07,2025-03-07 12:50:00,2025-03-07 13:02:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,12.0
ACT00012655,A007,2025-03-07,2025-03-07 13:02:00,2025-03-07 13:23:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,21.0
ACT00012656,A007,2025-03-07,2025-03-07 13:23:00,2025-03-07 13:33:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,10.0
ACT00012657,A007,2025-03-07,2025-03-07 13:33:00,2025-03-07 13:50:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,17.0
ACT00012658,A007,2025-03-07,2025-03-07 13:50:00,2025-03-07 14:10:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,20.0
ACT00012659,A007,2025-03-07,2025-03-07 14:10:00,2025-03-07 14:50:00,Case Work,Case Processing,,Prior Authorization,1,1,Salesforce,40.0
ACT00012660,A007,2025-03-07,2025-03-07 14:52:00,2025-03-07 15:06:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00012661,A007,2025-03-07,2025-03-07 15:06:00,2025-03-07 16:00:00,Offline Work,System Issue,,,0,1,IT Incident Log,54.0
ACT00012662,A007,2025-03-10,2025-03-10 07:00:00,2025-03-10 07:07:00,Offline Work,Admin,,,1,1,SharePoint Tracker,7.0
ACT00012663,A007,2025-03-10,2025-03-10 07:07:00,2025-03-10 07:23:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,16.0
ACT00012664,A007,2025-03-10,2025-03-10 07:23:00,2025-03-10 07:36:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,13.0
ACT00012665,A007,2025-03-10,2025-03-10 07:36:00,2025-03-10 07:52:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,16.0
ACT00012666,A007,2025-03-10,2025-03-10 07:52:00,2025-03-10 08:11:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,19.0
ACT00012667,A007,2025-03-10,2025-03-10 08:11:00,2025-03-10 08:27:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,16.0
ACT00012668,A007,2025-03-10,2025-03-10 08:27:00,2025-03-10 08:56:00,Case Work,Case Processing,,Follow Up,1,1,Salesforce,29.0
ACT00012669,A007,2025-03-10,2025-03-10 08:56:00,2025-03-10 09:11:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,15.0
ACT00012670,A007,2025-03-10,2025-03-10 09:11:00,2025-03-10 09:22:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,11.0
ACT00012671,A007,2025-03-10,2025-03-10 09:22:00,2025-03-10 09:33:00,Offline Work,Email Support,,,1,1,Queue Manager,11.0
ACT00012672,A007,2025-03-10,2025-03-10 09:33:00,2025-03-10 09:48:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,15.0
ACT00012673,A007,2025-03-10,2025-03-10 09:48:00,2025-03-10 10:15:00,Offline Work,Admin,,,1,1,SharePoint Tracker,27.0
ACT00012674,A007,2025-03-10,2025-03-10 10:15:00,2025-03-10 10:34:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,19.0
ACT00012675,A007,2025-03-10,2025-03-10 10:34:00,2025-03-10 10:42:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,8.0
ACT00012676,A007,2025-03-10,2025-03-10 10:42:00,2025-03-10 11:00:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,18.0
ACT00012677,A007,2025-03-10,2025-03-10 11:00:00,2025-03-10 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00012678,A007,2025-03-10,2025-03-10 11:30:00,2025-03-10 11:41:00,Offline Work,Break,,,0,1,Queue Manager,11.0
ACT00012679,A007,2025-03-10,2025-03-10 11:41:00,2025-03-10 11:55:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,14.0
ACT00012680,A007,2025-03-10,2025-03-10 11:55:00,2025-03-10 12:12:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,17.0
ACT00012681,A007,2025-03-10,2025-03-10 12:12:00,2025-03-10 12:30:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,18.0
ACT00012682,A007,2025-03-10,2025-03-10 12:30:00,2025-03-10 12:42:00,Offline Work,Admin,,,1,1,SharePoint Tracker,12.0
ACT00012683,A007,2025-03-10,2025-03-10 12:42:00,2025-03-10 13:36:00,Offline Work,Email Support,,,1,1,Queue Manager,54.0
ACT00012684,A007,2025-03-10,2025-03-10 13:36:00,2025-03-10 13:44:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,8.0
ACT00012685,A007,2025-03-10,2025-03-10 13:44:00,2025-03-10 14:00:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,16.0
ACT00012686,A007,2025-03-10,2025-03-10 14:00:00,2025-03-10 14:14:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00012687,A007,2025-03-10,2025-03-10 14:14:00,2025-03-10 14:25:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,11.0
ACT00012688,A007,2025-03-10,2025-03-10 14:25:00,2025-03-10 14:44:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,19.0
ACT00012689,A007,2025-03-10,2025-03-10 14:44:00,2025-03-10 15:17:00,Offline Work,Admin,,,1,1,SharePoint Tracker,33.0
ACT00012690,A007,2025-03-10,2025-03-10 15:17:00,2025-03-10 15:36:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,19.0
ACT00012691,A007,2025-03-10,2025-03-10 15:36:00,2025-03-10 15:56:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,20.0
ACT00012692,A007,2025-03-10,2025-03-10 15:56:00,2025-03-10 16:00:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,4.0
ACT00012693,A007,2025-03-12,2025-03-12 07:30:00,2025-03-12 07:50:00,Offline Work,Admin,,,1,1,SharePoint Tracker,20.0
ACT00012694,A007,2025-03-12,2025-03-12 07:50:00,2025-03-12 07:59:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,9.0
ACT00012695,A007,2025-03-12,2025-03-12 07:59:00,2025-03-12 08:40:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,41.0
ACT00012696,A007,2025-03-12,2025-03-12 08:40:00,2025-03-12 09:08:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,28.0
ACT00012697,A007,2025-03-12,2025-03-12 09:08:00,2025-03-12 09:29:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,21.0
ACT00012698,A007,2025-03-12,2025-03-12 09:30:00,2025-03-12 09:46:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,16.0
ACT00012699,A007,2025-03-12,2025-03-12 09:46:00,2025-03-12 10:00:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,14.0
ACT00012700,A007,2025-03-12,2025-03-12 10:00:00,2025-03-12 10:18:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,18.0
ACT00012701,A007,2025-03-12,2025-03-12 10:21:00,2025-03-12 10:43:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,22.0
ACT00012702,A007,2025-03-12,2025-03-12 10:43:00,2025-03-12 11:00:00,Offline Work,Team Meeting,,,1,1,SharePoint Tracker,17.0
ACT00012703,A007,2025-03-12,2025-03-12 11:00:00,2025-03-12 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00012704,A007,2025-03-12,2025-03-12 11:30:00,2025-03-12 11:49:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,19.0
ACT00012705,A007,2025-03-12,2025-03-12 11:49:00,2025-03-12 12:20:00,Case Work,Case Processing,,Documentation,1,1,Salesforce,31.0
ACT00012706,A007,2025-03-12,2025-03-12 12:20:00,2025-03-12 12:47:00,Offline Work,System Issue,,,0,1,IT Incident Log,27.0
ACT00012707,A007,2025-03-12,2025-03-12 12:47:00,2025-03-12 12:57:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,10.0
ACT00012708,A007,2025-03-12,2025-03-12 12:57:00,2025-03-12 13:14:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,17.0
ACT00012709,A007,2025-03-12,2025-03-12 13:14:00,2025-03-12 13:30:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,16.0
ACT00012710,A007,2025-03-12,2025-03-12 13:30:00,2025-03-12 13:52:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,22.0
ACT00012711,A007,2025-03-12,2025-03-12 13:52:00,2025-03-12 14:51:00,Offline Work,Training,,,1,1,SharePoint Tracker,59.0
ACT00012712,A007,2025-03-12,2025-03-12 14:52:00,2025-03-12 15:02:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,10.0
ACT00012713,A007,2025-03-12,2025-03-12 15:02:00,2025-03-12 15:16:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,14.0
ACT00012714,A007,2025-03-12,2025-03-12 15:16:00,2025-03-12 16:00:00,Offline Work,Team Meeting,,,1,1,SharePoint Tracker,44.0
ACT00012715,A007,2025-03-13,2025-03-13 07:10:00,2025-03-13 07:37:00,Offline Work,Admin,,,1,1,SharePoint Tracker,27.0
ACT00012716,A007,2025-03-13,2025-03-13 07:37:00,2025-03-13 07:49:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,12.0
ACT00012717,A007,2025-03-13,2025-03-13 07:49:00,2025-03-13 08:02:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,13.0
ACT00012718,A007,2025-03-13,2025-03-13 08:02:00,2025-03-13 08:13:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,11.0
ACT00012719,A007,2025-03-13,2025-03-13 08:13:00,2025-03-13 08:40:00,Case Work,Case Processing,,Documentation,1,1,Salesforce,27.0
ACT00012720,A007,2025-03-13,2025-03-13 08:40:00,2025-03-13 08:59:00,Offline Work,Team Meeting,,,1,1,SharePoint Tracker,19.0
ACT00012721,A007,2025-03-13,2025-03-13 08:59:00,2025-03-13 09:13:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,14.0
ACT00012722,A007,2025-03-13,2025-03-13 09:13:00,2025-03-13 09:24:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,11.0
ACT00012723,A007,2025-03-13,2025-03-13 09:24:00,2025-03-13 09:38:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00012724,A007,2025-03-13,2025-03-13 09:38:00,2025-03-13 09:47:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,9.0
ACT00012725,A007,2025-03-13,2025-03-13 09:49:00,2025-03-13 09:59:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,10.0
ACT00012726,A007,2025-03-13,2025-03-13 09:59:00,2025-03-13 10:17:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,18.0
ACT00012727,A007,2025-03-13,2025-03-13 10:17:00,2025-03-13 11:00:00,Case Work,Case Processing,,Prior Authorization,1,1,Salesforce,43.0
ACT00012728,A007,2025-03-13,2025-03-13 11:00:00,2025-03-13 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00012729,A007,2025-03-13,2025-03-13 11:30:00,2025-03-13 11:42:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,12.0
ACT00012730,A007,2025-03-13,2025-03-13 11:42:00,2025-03-13 11:56:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,14.0
ACT00012731,A007,2025-03-13,2025-03-13 11:56:00,2025-03-13 12:09:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,13.0
ACT00012732,A007,2025-03-13,2025-03-13 12:09:00,2025-03-13 12:35:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,26.0
ACT00012733,A007,2025-03-13,2025-03-13 12:35:00,2025-03-13 12:47:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,12.0
ACT00012734,A007,2025-03-13,2025-03-13 12:47:00,2025-03-13 12:58:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,11.0
ACT00012735,A007,2025-03-13,2025-03-13 12:58:00,2025-03-13 13:15:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,17.0
ACT00012736,A007,2025-03-13,2025-03-13 13:15:00,2025-03-13 13:25:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,10.0
ACT00012737,A007,2025-03-13,2025-03-13 13:25:00,2025-03-13 13:40:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,15.0
ACT00012738,A007,2025-03-13,2025-03-13 13:40:00,2025-03-13 13:55:00,Offline Work,Break,,,0,1,Queue Manager,15.0
ACT00012739,A007,2025-03-13,2025-03-13 13:55:00,2025-03-13 14:00:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,5.0
ACT00012740,A007,2025-03-13,2025-03-13 14:00:00,2025-03-13 14:42:00,Offline Work,System Issue,,,0,1,IT Incident Log,42.0
ACT00012741,A007,2025-03-13,2025-03-13 14:42:00,2025-03-13 14:50:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,8.0
ACT00012742,A007,2025-03-13,2025-03-13 14:50:00,2025-03-13 15:03:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,13.0
ACT00012743,A007,2025-03-13,2025-03-13 15:03:00,2025-03-13 15:45:00,Case Work,Case Processing,,Follow Up,1,1,Salesforce,42.0
ACT00012744,A007,2025-03-13,2025-03-13 15:45:00,2025-03-13 15:59:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00012745,A007,2025-03-13,2025-03-13 15:59:00,2025-03-13 16:00:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,1.0
ACT00012746,A007,2025-03-14,2025-03-14 07:00:00,2025-03-14 07:18:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,18.0
